dataset,model,condition,slice,mean,ci_low,ci_high,n_deletion_realizations,n_training_seeds,n_queries
WN18RR,TransE,Original,relation_low,0.11517379360716323,0.09898791596705706,0.1323745483931743,1,3,809
WN18RR,TransE,Random,relation_low,0.12622686279398734,0.11093611782714184,0.14209573516831053,3,3,809
WN18RR,TransE,Structured-low,relation_low,0.11763027404078974,0.10273577457995565,0.13241065250254264,3,3,809
WN18RR,TransE,Relation-low,relation_low,0.04407876839506868,0.033905728343196266,0.05478361487976471,3,3,809
WN18RR,DistMult,Original,relation_low,0.10006000810998468,0.07607291160512328,0.12436733895142875,1,3,809
WN18RR,DistMult,Random,relation_low,0.061304314725990086,0.04624859496208321,0.07696333297898224,3,3,809
WN18RR,DistMult,Structured-low,relation_low,0.06648786529531751,0.04843638240713002,0.08747986390200863,3,3,809
WN18RR,DistMult,Relation-low,relation_low,0.008705017258420798,0.004652814548976592,0.013924557515802063,3,3,809
WN18RR,ComplEx,Original,relation_low,0.12747873945230606,0.10461664308472303,0.15050733962559773,1,3,809
WN18RR,ComplEx,Random,relation_low,0.08599416388123489,0.06903953279897103,0.10351244440812016,3,3,809
WN18RR,ComplEx,Structured-low,relation_low,0.08929022617985961,0.07227882295485086,0.10840325629978438,3,3,809
WN18RR,ComplEx,Relation-low,relation_low,0.006517383580101869,0.003790979216532923,0.010225965388982133,3,3,809
WN18RR,RotatE,Original,relation_low,0.0021351248181223706,0.0011608850498752016,0.003603973220241548,1,3,809
WN18RR,RotatE,Random,relation_low,0.0023816830364573323,0.001381529078377062,0.004026016506746702,3,3,809
WN18RR,RotatE,Structured-low,relation_low,0.0022824309742006453,0.001242175910410201,0.004244073493549385,3,3,809
WN18RR,RotatE,Relation-low,relation_low,0.0009247140099596137,0.00042215252851199927,0.00187462555827223,3,3,809
WN18RR,TransE,Original,coverage_mid,0.15201304900020793,0.13892338974861806,0.16625914473060102,1,3,1167
WN18RR,TransE,Random,coverage_mid,0.14832501378713006,0.136719446247549,0.16010597119678557,3,3,1167
WN18RR,TransE,Structured-low,coverage_mid,0.14098368201150147,0.13009323624218386,0.15296340398411626,3,3,1167
